,Name,Artist,Weeks.on.chart,Peak.position
680,Dear Future Husband,Meghan Trainor,24,14
683,Dedicate,Lil Wayne,2,14
684,Deja Vu,J. Cole,20,7
685,Delicate,Taylor Swift,35,12
686,Dem Boyz,Boyz N Da Hood,12,56
687,Demons,Imagine Dragons,61,6
689,Despacito,"Luis Fonsi, Daddy Yankee",52,1
690,Desperate Man,Eric Church,15,68
691,Desperately,George Strait,14,44
692,Dessert,Dawin,11,68
693,Diamond In The Back,Ludacris,3,94
694,Diamonds,Rihanna,26,1
695,Diamonds Dancing,"Drake, Future",8,53
697,Dibs,Kelsea Ballerini,17,58
698,Did It For The Girl,Greg Bates,16,66
699,Did My Time,Korn,10,38
700,Did You Ever Think,R. Kelly,16,27
701,Did You Wrong,Pleasure P,4,90
702,Didn'T You Know How Much I Loved You,Kellie Pickler,2,97
703,Die A Happy Man,Thomas Rhett,30,21
704,Die For You,The Weeknd,3,43
705,Die In Your Arms,Justin Bieber,2,17
706,Die Young,Roddy Ricch,2,99
707,Differences,Ginuwine,30,4
708,Dig,Incubus,3,94
709,Digital Dash,"Drake, Future",7,62
711,Dip It Low,Christina Milian,30,5
712,Dirt,Florida Georgia Line,20,11
713,Dirt On My Boots,Jon Pardi,20,37
714,Dirt Road Anthem,Jason Aldean,27,7
715,Dirty Laundry,Carrie Underwood,16,48
716,Disco Inferno,50 Cent,29,3
717,Disease,Matchbox Twenty,20,29
719,Disturbia,Rihanna,37,1
720,Dive,Ed Sheeran,2,49
721,Dive In,Trey Songz,12,77
722,Dna,Bts,4,67
723,Dna.,Kendrick Lamar,20,4
724,Do I,Luke Bryan,20,34
725,Do I Make You Wanna,Billy Currington,19,47
726,Do I Wanna Know?,Arctic Monkeys,20,70
727,Do It Well,Jennifer Lopez,10,31
728,Do Not Disturb,Drake,2,60
729,Do Re Mi,Blackbear,25,40
731,Do The John Wall,Troop 41,8,76
732,Do You Believe Me Now,Jimmy Wayne,20,36
734,Do You Want To,Franz Ferdinand,4,76
735,Doa,Foo Fighters,12,68
736,Doesn'T Mean Anything,Alicia Keys,10,60
737,Doesn'T Remind Me,Audioslave,11,68
738,Dog Days Are Over,Florence + The Machine,20,21
739,Doin' What She Likes,Blake Shelton,17,35
740,Domino,Jessie J,29,6
741,Don'T,Billy Currington,20,52
742,Don'T,Bryson Tiller,34,13
743,Don'T,Ed Sheeran,36,9
744,Don'T Blink,Kenny Chesney,20,29
