,Name,Artist,Weeks.on.chart,Peak.position
417,Break Up In A Small Town,Sam Hunt,20.0,29.0
418,Break Up In The End,Cole Swindell,17.0,49.0
419,Break Up With Him,Old Dominion,20.0,44.0
420,"Break Up With Your Girlfriend, I'M Bored",Ariana Grande,20.0,2.0
421,Break Ya Neck,Busta Rhymes,20.0,26.0
422,Breakaway,Kelly Clarkson,46.0,6.0
423,Breakeven,The Script,43.0,12.0
424,Breaking The Habit,Linkin Park,20.0,20.0
425,Breath,Breaking Benjamin,7.0,84.0
426,Breathe,Fabolous,20.0,10.0
427,Breathe,Faith Hill,53.0,2.0
428,Breathe,Michelle Branch,18.0,36.0
429,Breathin,Ariana Grande,25.0,12.0
430,Breathless,The Corrs,20.0,34.0
431,Bright,Echosmith,20.0,40.0
432,Bright Lights,Matchbox Twenty,21.0,23.0
433,Brighter Than The Sun,Colbie Caillat,25.0,47.0
434,Bring Em Out,T.I.,21.0,9.0
435,Bring It Back,Travis Porter,10.0,75.0
436,Bring It On Home,Little Big Town,18.0,58.0
437,Bring Me To Life,Evanescence,32.0,5.0
438,Broken,Lifehouse,15.0,83.0
439,Broken,Lovelytheband,22.0,29.0
440,Broken,Seether,21.0,20.0
441,Broken Halos,Chris Stapleton,20.0,45.0
442,Brokenhearted,Karmin,22.0,16.0
443,Brokenheartsville,Joe Nichols,20.0,27.0
444,Brotha,Angie Stone,20.0,52.0
445,Bubbly,Colbie Caillat,47.0,5.0
446,Budapest,George Ezra,23.0,32.0
447,Bulletproof,La Roux,27.0,8.0
448,Bullets In The Gun,Toby Keith,14.0,83.0
449,Bully,Shinedown,2.0,94.0
450,Burn,Ellie Goulding,36.0,13.0
451,Burn,Jo Dee Messina,20.0,42.0
452,Burn,Usher,30.0,1.0
453,Burn It Down,Linkin Park,23.0,30.0
454,Burn Out,Midland,9.0,63.0
456,Burnin' It Down,Jason Aldean,20.0,12.0
457,Burnin' Up,Jonas Brothers,16.0,5.0
458,Burning House,Cam,25.0,29.0
459,Bury A Friend,Billie Eilish,20.0,14.0
460,Bust Your Windows,Jazmine Sullivan,15.0,31.0
461,But For The Grace Of God,Keith Urban,20.0,37.0
462,Butterflies,Michael Jackson,20.0,14.0
463,Butterfly,Crazy Town,23.0,1.0
